year,SIPOVGINIUSA,gini
1963,37.6,0.376
1964,38.1,0.381
1965,37.5,0.375
1966,37.8,0.378
1967,36.9,0.369
1968,36.3,0.363
1969,36,0.36
1970,36.6,0.366
1971,36.9,0.369
1972,36.7,0.367
1973,36.1,0.361
1974,35.5,0.355
1975,35.7,0.357
1976,35.6,0.356
1977,35.5,0.355
1978,34.8,0.348
1979,34.8,0.348
1980,34.7,0.347
1981,35.5,0.355
1982,36.7,0.367
1983,37.3,0.373
1984,37.3,0.373
1985,37.6,0.376
1986,37.6,0.376
1987,37.2,0.372
1988,37.7,0.377
1989,38.2,0.382
1990,38.3,0.383
1991,38,0.38
1992,38.4,0.384
1993,40.4,0.404
1994,40,0.4
1995,39.9,0.399
1996,40.3,0.403
1997,40.5,0.405
1998,40,0.4
1999,40,0.4
2000,40.1,0.401
2001,40.6,0.406
2002,40.4,0.404
2003,40.8,0.408
2004,40.3,0.403
2005,41,0.41
2006,41.4,0.414
2007,40.8,0.408
2008,40.8,0.408
2009,40.6,0.406
2010,40,0.4
2011,40.9,0.409
2012,40.9,0.409
2013,40.7,0.407
2014,41.5,0.415
2015,41.2,0.412
2016,41.1,0.411
2017,41.2,0.412
2018,41.4,0.414
2019,41.5,0.415
2020,39.7,0.397
2021,39.8,0.398